"Newick File","Data File","Number of unrooted trees on terrace" 
"Allium.nwk","Allium.data",8038035
"Allium_Reduced.nwk","Allium_Reduced.data",730680125
"Allium_Tiny.nwk","Allium_Tiny.data",35
"Asplenium.nwk.1","Asplenium.data.1",1
"Asplenium.nwk.2","Asplenium.data.2",95
"Bouchenak.nwk","Bouchenak.data",61261515
"Caryophyllaceae.nwk","Caryophyllaceae.data",718346120625
"Eucalyptus.nwk.1","Eucalyptus.data.1",229
"Eucalyptus.nwk.2","Eucalyptus.data.2",267
"Eucalyptus.nwk.3","Eucalyptus.data.3",9
"Euphorbia.nwk.1","Euphorbia.data.1",759
"Euphorbia.nwk.2","Euphorbia.data.2",759
"Ficus.nwk.1","Ficus.data.1",283815
"Ficus.nwk.2","Ficus.data.2",851445
"Ficus.nwk.3","Ficus.data.3",851445
"Iris.nwk","Iris.data",1
"Meusemann.nwk","Meusemann.data",1
"Pyron.nwk","Pyron.data",2205
